backend,mode,operation,dataset,input_rows,repeat,status,seconds,reason,warnings,validated,source_file
joblib-pandas,filtered,count,large,200000,0.0,ok,0.026727800999992724,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,count,large,200000,1.0,ok,0.02721047299996826,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,count,large,200000,2.0,ok,0.05322038400004203,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,count_index,large,200000,0.0,ok,0.02686326100001679,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,count_index,large,200000,1.0,ok,0.027241008000032707,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,count_index,large,200000,2.0,ok,0.027209860999960256,,[],True,large-joblib-pandas.json
joblib-pandas,filtered,complex,large,200000,,skipped,,source lacks coordinates,,,large-joblib-pandas.json
joblib-pandas,filtered_cached,value_counts,large,200000,0.0,ok,0.0010297489999402387,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,value_counts,large,200000,1.0,ok,0.0011243079999303518,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,value_counts,large,200000,2.0,ok,0.001343462000022555,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,join_count,large,200000,0.0,ok,0.0014431790000344336,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,join_count,large,200000,1.0,ok,0.0014567489999990357,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,join_count,large,200000,2.0,ok,0.0013436029998956656,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,product_columns,large,200000,0.0,ok,0.0013224010000385533,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,product_columns,large,200000,1.0,ok,0.0004714450000165016,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,product_columns,large,200000,2.0,ok,0.00032784400002583425,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,mean_product,large,200000,0.0,ok,0.0005057260000285169,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,mean_product,large,200000,1.0,ok,0.0005031919999964884,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,mean_product,large,200000,2.0,ok,0.0004506349999928716,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,join,large,200000,0.0,ok,0.0012242160000823787,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,join,large,200000,1.0,ok,0.0016109769999275159,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,join,large,200000,2.0,ok,0.0016143020000072283,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,groupby,large,200000,0.0,ok,0.005669163999982629,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,groupby,large,200000,1.0,ok,0.005398214000024382,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,groupby,large,200000,2.0,ok,0.005436310000050071,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,sum_columns,large,200000,0.0,ok,0.0003454899999724148,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,sum_columns,large,200000,1.0,ok,0.00028552099990974966,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,sum_columns,large,200000,2.0,ok,0.0003608619999795337,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,mean,large,200000,0.0,ok,0.0002480260000083945,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,mean,large,200000,1.0,ok,0.00025762999996459257,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,mean,large,200000,2.0,ok,0.0002690069999289335,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,mean_complex,large,200000,,skipped,,source lacks coordinates,,,large-joblib-pandas.json
joblib-pandas,filtered_cached,std,large,200000,0.0,ok,0.0005490000000918371,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,std,large,200000,1.0,ok,0.0005605669999795282,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,std,large,200000,2.0,ok,0.0013658249999934924,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,mean_sum,large,200000,0.0,ok,0.0004450159999578318,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,mean_sum,large,200000,1.0,ok,0.0004463680000981185,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,mean_sum,large,200000,2.0,ok,0.000436063000051945,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,count,large,200000,0.0,ok,8.632999993096746e-06,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,count,large,200000,1.0,ok,9.524000006422284e-06,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,count,large,200000,2.0,ok,9.253000030184921e-06,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,count_index,large,200000,0.0,ok,9.874999932435458e-06,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,count_index,large,200000,1.0,ok,9.714999919196998e-06,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,count_index,large,200000,2.0,ok,1.0175000056733552e-05,,[],True,large-joblib-pandas.json
joblib-pandas,filtered_cached,complex,large,200000,,skipped,,source lacks coordinates,,,large-joblib-pandas.json
