dataset,mode,operation,backend,median_seconds,min_seconds,max_seconds,repeats
medium,filtered_cached,count,pandas,1.121599996167788e-05,1.1185999937879387e-05,1.155699999344506e-05,3
medium,filtered_cached,count_index,dask,0.002868225000042912,0.0021758430000318185,0.006475281000007271,3
medium,filtered_cached,count_index,joblib-pandas,1.2668999943343806e-05,1.2437999998837768e-05,1.4521999901262461e-05,3
medium,filtered_cached,count_index,pandas,1.1846999996123486e-05,1.1297000014565128e-05,1.6134000020429085e-05,3
medium,filtered_cached,groupby,dask,0.024902741000005335,0.02313660200002232,0.02606682999999066,3
medium,filtered_cached,groupby,joblib-pandas,0.002357727999992676,0.002278369999999086,0.0026717319999534084,3
medium,filtered_cached,groupby,pandas,0.0024270600000591003,0.002263789000039651,0.002447640000013962,3
medium,filtered_cached,join,dask,0.008533671000009235,0.008055594999973437,0.008589512999947146,3
medium,filtered_cached,join,joblib-pandas,0.001183435000029931,0.000992313000097056,0.0014499979999982315,3
medium,filtered_cached,join,pandas,0.0016885409999076728,0.0015995890000795043,0.0026938639999798397,3
medium,filtered_cached,join_count,dask,0.01406821199998376,0.011169062000021768,0.01594187000000602,3
medium,filtered_cached,join_count,joblib-pandas,0.0011260009999887188,0.0011033970000653426,0.001196815000071183,3
medium,filtered_cached,join_count,pandas,0.001090689000079692,0.0009578829999554728,0.0013855840001042452,3
medium,filtered_cached,mean,dask,0.004466445000048225,0.004439886000000115,0.00518656799999917,3
medium,filtered_cached,mean,joblib-pandas,0.00018363999993198377,0.00017823300004238263,0.000204312000050777,3
medium,filtered_cached,mean,pandas,0.0002085080000142625,0.00019785199992838898,0.00021523700002035184,3
medium,filtered_cached,mean_product,dask,0.007317264999983308,0.006132315000058952,0.007736338000086107,3
medium,filtered_cached,mean_product,joblib-pandas,0.00035169899990705744,0.0003329709999206898,0.0004648750000342261,3
medium,filtered_cached,mean_product,pandas,0.00039013599996451376,0.0003329310000026453,0.00042800099993201,3
medium,filtered_cached,mean_sum,dask,0.00780786900008934,0.006751608999934433,0.008290580999982922,3
medium,filtered_cached,mean_sum,joblib-pandas,0.0003434860000197659,0.00032770400002846145,0.00036986500003877154,3
medium,filtered_cached,mean_sum,pandas,0.0004676500000186934,0.0003372979999767267,0.0004804090000334327,3
medium,filtered_cached,product_columns,dask,0.004160298000101648,0.004115516999945612,0.004479524000089441,3
medium,filtered_cached,product_columns,joblib-pandas,0.00026816599995527213,0.00024699400000827154,0.0002944950000483004,3
medium,filtered_cached,product_columns,pandas,0.0002806339999779084,0.00023959300006026751,0.00029251099999783037,3
medium,filtered_cached,std,dask,0.0042452779999848644,0.003622528999926544,0.004639580999992177,3
medium,filtered_cached,std,joblib-pandas,0.000328595000041787,0.0002999829999907888,0.00038230399991334707,3
medium,filtered_cached,std,pandas,0.00034800299999915296,0.00030146500000682863,0.00035279099995477736,3
